"State","Number of Species Listings"
"Alaska","8"
"Alabama","143"
"Arkansas","36"
"American Samoa","7"
"Arizona","75"
"California","293"
"Colorado","38"
"Connecticut","12"
"District of Columbia","4"
"Delaware","15"
"Florida","135"
"Georgia","76"
"Guam","31"
"Hawaii","490"
"Iowa","19"
"Idaho","18"
"Illinois","35"
"Indiana","33"
"Kansas","19"
"Kentucky","52"
"Louisiana","27"
"Massachusetts","18"
"Maryland","27"
"Maine","12"
"Michigan","26"
"Minnesota","21"
"Missouri","41"
"Northern Mariana Islands","32"
"Mississippi","54"
"Montana","18"
"North Carolina","68"
"North Dakota","7"
"Nebraska","15"
"New Hampshire","12"
"New Jersey","17"
"New Mexico","63"
"Nevada","52"
"New York","27"
"Ohio","29"
"Oklahoma","22"
"Oregon","45"
"Pennsylvania","20"
"Puerto Rico","71"
"Rhode Island","9"
"South Carolina","41"
"South Dakota","15"
"Outlying Pacific Islands","0"
"Outlying Caribbean Islands","0"
"Tennessee","131"
"Texas","118"
"Utah","44"
"Virginia","77"
"Virgin Islands","15"
"Vermont","6"
"Washington","32"
"Wisconsin","26"
"West Virginia","34"
"Wyoming","18"
